Image,Type,Complexity,Causes
66.png,crescent,1.0,Wearing Course Issues
67.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
68.png,diagonal,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Tree Roots"
69.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
70.png,longitudinal,1.0,Join Issues
71.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
72.png,longitudinal,1.0,Join Issues
73.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
74.png,crescent,1.0,Wearing Course Issues
75.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
76.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
77.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
78.png,diagonal,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Aged/Hardened Bitumen"
79.png,crescent,4.0,Wearing Course Issues
80.png,longitudinal,1.0,Join Issues
81.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
82.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
83.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
84.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
85.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
86.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
87.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
88.png,crescent,7.0,Wearing Course Issues
89.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
90.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
91.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
92.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
93.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues"
94.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
95.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
96.png,block,8.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues"
97.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
98.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
99.png,block,7.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
100.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
101.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
102.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
103.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
104.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
105.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues"
106.png,longitudinal,2.0,Join Issues
107.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
108.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
109.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
110.png,longitudinal,1.0,Join Issues
111.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
112.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
113.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
114.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
115.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
116.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
117.png,diagonal,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Tree Roots"
118.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
119.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
120.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
121.png,longitudinal,3.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
122.png,block,8.0,"Join Issues, Inadequate Slab Thickness, Moisture, Wearing Course Issues, Aged/Hardened Bitumen"
123.png,crescent,3.0,Wearing Course Issues
124.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
125.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
126.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues"
127.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
128.png,block,8.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues"
129.png,crescent,5.0,"Wearing Course Issues, Moisture"
130.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
131.png,meandering,6.0,"Moisture, Tree Roots, Underlying Settlement, Inadequate Slab Thickness"
132.png,longitudinal,3.0,"Join Issues, Moisture"
133.png,longitudinal,3.0,"Join Issues, Moisture"
134.png,longitudinal,2.0,Join Issues
135.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues, Moisture"
136.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
137.png,diagonal,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Wearing Course Issues, Aged/Hardened Bitumen"
138.png,block,8.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
139.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
140.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
141.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
142.png,crescent,2.0,Wearing Course Issues
143.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
144.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues"
145.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
146.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
147.png,crescent,4.0,"Wearing Course Issues, Moisture"
148.png,crescent,2.0,"Wearing Course Issues, Moisture"
149.png,crescent,6.0,"Wearing Course Issues, Moisture"
150.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
151.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture, Wearing Course Issues"
152.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
153.png,crescent,3.0,"Wearing Course Issues, Moisture"
154.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
155.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
156.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
157.png,longitudinal,3.0,Join Issues
158.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
159.png,longitudinal,4.0,Join Issues
160.png,longitudinal,2.0,Join Issues
161.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
162.png,block,7.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues, Moisture"
163.png,block,8.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
164.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues"
165.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
166.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
167.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
168.png,longitudinal,2.0,Join Issues
169.png,longitudinal,4.0,Join Issues
170.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
171.png,longitudinal,3.0,"Join Issues, Moisture"
172.png,longitudinal,4.0,"Join Issues, Moisture, Tree Roots"
173.png,longitudinal,1.0,Join Issues
174.png,diagonal,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Aged/Hardened Bitumen"
175.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
176.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
177.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
178.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
179.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
180.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
181.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
182.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
183.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
184.png,crescent,2.0,"Wearing Course Issues, Moisture"
185.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues, Moisture"
186.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
187.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
188.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
189.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
190.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues"
191.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
192.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues, Moisture"
193.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
194.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
195.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
196.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
197.png,longitudinal,1.0,Join Issues
198.png,longitudinal,1.0,Join Issues
199.png,longitudinal,1.0,Join Issues
200.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
201.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
202.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues, Moisture"
203.png,crescent,1.0,Wearing Course Issues
204.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
205.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
206.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
207.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
208.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
209.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
210.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
211.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
212.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
213.png,longitudinal,3.0,"Join Issues, Wearing Course Issues, Moisture"
214.png,longitudinal,2.0,"Join Issues, Moisture"
215.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
216.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
217.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
218.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
219.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture, Wearing Course Issues"
220.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
221.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
222.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
223.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
224.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
225.png,crescent,2.0,Wearing Course Issues
226.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
227.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
228.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
229.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
230.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
231.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
232.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
233.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
234.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
235.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
236.png,crescent,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
237.png,longitudinal,2.0,Join Issues
238.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues"
239.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
240.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
241.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues"
242.png,crescent,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues"
243.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
244.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
245.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness"
246.png,block,7.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
247.png,block,7.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
248.png,block,7.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
249.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
250.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues"
251.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture"
252.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
253.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Wearing Course Issues"
254.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
255.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
256.png,transverse,1.0,"Wearing Course Issues, Join Issues, Underlying Settlement, Inadequate Slab Thickness"
257.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
258.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
259.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
260.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
261.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
262.png,crescent,2.0,"Wearing Course Issues, Moisture"
263.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
264.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
265.png,block,2.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
266.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
267.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
268.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
269.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues"
270.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
271.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
272.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
273.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
274.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
275.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
276.png,longitudinal,1.0,Join Issues
277.png,crescent,1.0,Wearing Course Issues
278.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
279.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
280.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
281.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
282.png,longitudinal,4.0,"Join Issues, Moisture, Wearing Course Issues"
283.png,longitudinal,4.0,"Join Issues, Wearing Course Issues, Moisture"
284.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
285.png,diagonal,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues, Tree Roots, Moisture"
286.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
287.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
288.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
289.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
